lid,longitude,latitude,naics_code,num_visits
470800,-79.6162195,37.1880955,441310.0,6
470893,-79.9215993451738,37.3621528581012,813910.0,7
470894,-79.9215993451738,37.3621528581012,813910.0,5
471085,-79.3017275,37.148544,491110.0,3
471110,-78.9457165,37.044482,445310.0,1
475909,-79.8679305,37.0124915,337910.0,1
476023,-79.8920985,37.0006045,722511.0,2
479563,-80.4168125,37.1670485,453310.0,1
479563,-80.4168125,37.1670485,812112.0,1
481049,-79.9596888544841,37.356424652744,424910.0,3
481100,-80.021735,37.234296,523120.0,1
481196,-79.9819045,37.2245135,722513.0,3
481221,-79.9101685,37.2786505,722511.0,1
482174,-81.8102235,37.09442,722513.0,2
482609,-81.090756,36.946151,722513.0,1
482622,-81.0003065,36.935873,238220.0,1
484927,-79.207774,37.400204,812990.0,6
485071,-79.1992395041045,37.3716809135782,812112.0,2
485078,-79.1828745766016,37.3698349717635,446199.0,1
485078,-79.1828745766016,37.3698349717635,447110.0,1
485081,-79.1828745766016,37.3698349717635,446199.0,1
485081,-79.1828745766016,37.3698349717635,447110.0,1
485082,-79.1828745766016,37.3698349717635,446199.0,6
485082,-79.1828745766016,37.3698349717635,447110.0,6
485083,-79.1828745766016,37.3698349717635,446199.0,2
485083,-79.1828745766016,37.3698349717635,447110.0,2
485084,-79.1828745766016,37.3698349717635,446199.0,2
485084,-79.1828745766016,37.3698349717635,447110.0,2
485085,-79.1828745766016,37.3698349717635,446199.0,4
485085,-79.1828745766016,37.3698349717635,447110.0,4
485111,-79.164783,37.386726,722511.0,1
485119,-79.188635,37.353665,441310.0,1
485177,-79.239829,37.355876,524126.0,3
485178,-79.239829,37.355876,524126.0,9
485209,-79.2498715,37.3674255,321918.0,2
485210,-79.2498715,37.3674255,321918.0,5
485211,-79.2498715,37.3674255,321918.0,1
487710,-79.97454,37.265819,722511.0,1
487770,-80.0859305,37.2893515,441310.0,2
487793,-80.0654525,37.29098,722515.0,5
487793,-80.0654525,37.29098,812112.0,5
487802,-80.0359885,37.263208,492110.0,2
972763,-79.2664095,37.364974,523930.0,5
973052,-79.2415414852003,37.3360403423324,517312.0,1
973053,-79.2415414852003,37.3360403423324,517312.0,2
973094,-79.281667,37.2327995,491110.0,2
981863,-79.397833,36.827489,813910.0,1
982986,-80.0034635,37.2449055,311811.0,1
982987,-80.0034635,37.2449055,311811.0,3
982988,-80.0034635,37.2449055,311811.0,2
983026,-80.012475,37.2256115,446110.0,4
987422,-79.141481,37.41467,448150.0,2
987422,-79.141481,37.41467,722513.0,2
987422,-79.141481,37.41467,812930.0,2
987423,-79.141481,37.41467,448150.0,2
987423,-79.141481,37.41467,722513.0,2
987423,-79.141481,37.41467,812930.0,2
987424,-79.141481,37.41467,448150.0,1
987424,-79.141481,37.41467,722513.0,1
987424,-79.141481,37.41467,812930.0,1
987425,-79.141481,37.41467,448150.0,2
987425,-79.141481,37.41467,722513.0,2
987425,-79.141481,37.41467,812930.0,2
987426,-79.141481,37.41467,448150.0,3
987426,-79.141481,37.41467,722513.0,3
987426,-79.141481,37.41467,812930.0,3
987477,-79.187713,37.374588,517911.0,5
987478,-79.187713,37.374588,517911.0,1
987556,-79.2396265,37.3561285,812112.0,4
989720,-79.981806,37.2716545,522390.0,2
989769,-80.0286645,37.2984935,721110.0,2
1477789,-79.246241,37.381232,441110.0,2
1477789,-79.246241,37.381232,441120.0,2
1477790,-79.246241,37.381232,441110.0,3
1477790,-79.246241,37.381232,441120.0,3
1477791,-79.246241,37.381232,441110.0,2
1477791,-79.246241,37.381232,441120.0,2
1477792,-79.246241,37.381232,441110.0,10
1477792,-79.246241,37.381232,441120.0,10
1477793,-79.246241,37.381232,441110.0,13
